"id","image","name","displayName","unlock_key","allow_team_color","lockdesc"
"1","PlayerIDNamePlateBase","$NAMEPLATE_BLANK",,,"true",
"2","PlayerIDNamePlate_002","$NAMEPLATE_HCE_BLUE",,"eUnlockItemId_NAMEPLATE_HCE_BLUE","true","$NAMEPLATE_HCE_BLUE_LOCK"
"3","PlayerIDNamePlate_003","$NAMEPLATE_HCE_BRONZE",,"eUnlockItemId_NAMEPLATE_HCE_BRONZE",,"$NAMEPLATE_HCE_BRONZE_LOCK"
"4","PlayerIDNamePlate_004","$NAMEPLATE_HCE_SILVER",,"eUnlockItemId_NAMEPLATE_HCE_SILVER",,"$NAMEPLATE_HCE_SILVER_LOCK"
"5","PlayerIDNamePlate_005","$NAMEPLATE_HCE_GOLD",,"eUnlockItemId_NAMEPLATE_HCE_GOLD",,"$NAMEPLATE_HCE_GOLD_LOCK"
"6","PlayerIDNamePlate_006","$NAMEPLATE_HCE_PLATINUM",,"eUnlockItemId_NAMEPLATE_HCE_PLATINUM",,"$NAMEPLATE_HCE_PLATINUM_LOCK"
"7","PlayerIDNamePlate_007","$NAMEPLATE_H2_BLUE",,"eUnlockItemId_NAMEPLATE_H2_BLUE","true","$NAMEPLATE_H2_BLUE_LOCK"
"8","PlayerIDNamePlate_008","$NAMEPLATE_H2_BRONZE",,"eUnlockItemId_NAMEPLATE_H2_BRONZE",,"$NAMEPLATE_H2_BRONZE_LOCK"
"9","PlayerIDNamePlate_009","$NAMEPLATE_H2_SILVER",,"eUnlockItemId_NAMEPLATE_H2_SILVER",,"$NAMEPLATE_H2_SILVER_LOCK"
"10","PlayerIDNamePlate_010","$NAMEPLATE_H2_GOLD",,"eUnlockItemId_NAMEPLATE_H2_GOLD",,"$NAMEPLATE_H2_GOLD_LOCK"
"11","PlayerIDNamePlate_011","$NAMEPLATE_H2_PLATINUM",,"eUnlockItemId_NAMEPLATE_H2_PLATINUM",,"$NAMEPLATE_H2_PLATINUM_LOCK"
"17","PlayerIDNamePlate_017","$NAMEPLATE_H3_BLUE",,"eUnlockItemId_NAMEPLATE_H3_BLUE","true","$NAMEPLATE_H3_BLUE_LOCK"
"18","PlayerIDNamePlate_018","$NAMEPLATE_H3_BRONZE",,"eUnlockItemId_NAMEPLATE_H3_BRONZE",,"$NAMEPLATE_H3_BRONZE_LOCK"
"19","PlayerIDNamePlate_019","$NAMEPLATE_H3_SILVER",,"eUnlockItemId_NAMEPLATE_H3_SILVER",,"$NAMEPLATE_H3_SILVER_LOCK"
"20","PlayerIDNamePlate_020","$NAMEPLATE_H3_GOLD",,"eUnlockItemId_NAMEPLATE_H3_GOLD",,"$NAMEPLATE_H3_GOLD_LOCK"
"21","PlayerIDNamePlate_021","$NAMEPLATE_H3_PLATINUM",,"eUnlockItemId_NAMEPLATE_H3_PLATINUM",,"$NAMEPLATE_H3_PLATINUM_LOCK"
"22","PlayerIDNamePlate_022","$NAMEPLATE_H4_BLUE",,"eUnlockItemId_NAMEPLATE_H4_BLUE","true","$NAMEPLATE_H4_BLUE_LOCK"
"23","PlayerIDNamePlate_023","$NAMEPLATE_H4_BRONZE",,"eUnlockItemId_NAMEPLATE_H4_BRONZE",,"$NAMEPLATE_H4_BRONZE_LOCK"
"24","PlayerIDNamePlate_024","$NAMEPLATE_H4_SILVER",,"eUnlockItemId_NAMEPLATE_H4_SILVER",,"$NAMEPLATE_H4_SILVER_LOCK"
"25","PlayerIDNamePlate_025","$NAMEPLATE_H4_GOLD",,"eUnlockItemId_NAMEPLATE_H4_GOLD",,"$NAMEPLATE_H4_GOLD_LOCK"
"26","PlayerIDNamePlate_026","$NAMEPLATE_H4_PLATINUM",,"eUnlockItemId_NAMEPLATE_H4_PLATINUM",,"$NAMEPLATE_H4_PLATINUM_LOCK"
"27","PlayerIDNamePlate_027","$NAMEPLATE_HALO_TEXT_BLUE",,"eUnlockItemId_NAMEPLATE_HALO_TEXT_BLUE","true","$NAMEPLATE_HALO_TEXT_BLUE_LOCK"
"28","PlayerIDNamePlate_028","$NAMEPLATE_HALO_TEXT_BRONZE",,"eUnlockItemId_NAMEPLATE_HALO_TEXT_BRONZE",,"$NAMEPLATE_HALO_TEXT_BRONZE_LOCK"
"29","PlayerIDNamePlate_029","$NAMEPLATE_HALO_TEXT_SILVER",,"eUnlockItemId_NAMEPLATE_HALO_TEXT_SILVER",,"$NAMEPLATE_HALO_TEXT_SILVER_LOCK"
"30","PlayerIDNamePlate_030","$NAMEPLATE_HALO_TEXT_GOLD",,"eUnlockItemId_NAMEPLATE_HALO_TEXT_GOLD",,"$NAMEPLATE_HALO_TEXT_GOLD_LOCK"
"31","PlayerIDNamePlate_031","$NAMEPLATE_HALO_TEXT_PLATINUM",,"eUnlockItemId_NAMEPLATE_HALO_TEXT_PLATINUM",,"$NAMEPLATE_HALO_TEXT_PLATINUM_LOCK"
"32","PlayerIDNamePlate_032","$NAMEPLATE_DMR_BLUE",,"eUnlockItemId_NAMEPLATE_DMR_BLUE","true","$NAMEPLATE_DMR_BLUE_LOCK"
"33","PlayerIDNamePlate_033","$NAMEPLATE_DMR_BRONZE",,"eUnlockItemId_NAMEPLATE_DMR_BRONZE",,"$NAMEPLATE_DMR_BRONZE_LOCK"
"34","PlayerIDNamePlate_034","$NAMEPLATE_DMR_SILVER",,"eUnlockItemId_NAMEPLATE_DMR_SILVER",,"$NAMEPLATE_DMR_SILVER_LOCK"
"35","PlayerIDNamePlate_035","$NAMEPLATE_DMR_GOLD",,"eUnlockItemId_NAMEPLATE_DMR_GOLD",,"$NAMEPLATE_DMR_GOLD_LOCK"
"36","PlayerIDNamePlate_036","$NAMEPLATE_DMR_PLATINUM",,"eUnlockItemId_NAMEPLATE_DMR_PLATINUM",,"$NAMEPLATE_DMR_PLATINUM_LOCK"
"37","PlayerIDNamePlate_037","$NAMEPLATE_SNIPER_BLUE",,"eUnlockItemId_NAMEPLATE_SNIPER_BLUE","true","$NAMEPLATE_SNIPER_BLUE_LOCK"
"38","PlayerIDNamePlate_038","$NAMEPLATE_SNIPER_BRONZE",,"eUnlockItemId_NAMEPLATE_SNIPER_BRONZE",,"$NAMEPLATE_SNIPER_BRONZE_LOCK"
"39","PlayerIDNamePlate_039","$NAMEPLATE_SNIPER_SILVER",,"eUnlockItemId_NAMEPLATE_SNIPER_SILVER",,"$NAMEPLATE_SNIPER_SILVER_LOCK"
"40","PlayerIDNamePlate_040","$NAMEPLATE_SNIPER_GOLD",,"eUnlockItemId_NAMEPLATE_SNIPER_GOLD",,"$NAMEPLATE_SNIPER_GOLD_LOCK"
"41","PlayerIDNamePlate_041","$NAMEPLATE_SNIPER_PLATINUM",,"eUnlockItemId_NAMEPLATE_SNIPER_PLATINUM",,"$NAMEPLATE_SNIPER_PLATINUM_LOCK"
"42","PlayerIDNamePlate_042","$NAMEPLATE_AR_BLUE",,"eUnlockItemId_NAMEPLATE_AR_BLUE","true","$NAMEPLATE_AR_BLUE_LOCK"
"43","PlayerIDNamePlate_043","$NAMEPLATE_AR_BRONZE",,"eUnlockItemId_NAMEPLATE_AR_BRONZE",,"$NAMEPLATE_AR_BRONZE_LOCK"
"44","PlayerIDNamePlate_044","$NAMEPLATE_AR_SILVER",,"eUnlockItemId_NAMEPLATE_AR_SILVER",,"$NAMEPLATE_AR_SILVER_LOCK"
"45","PlayerIDNamePlate_045","$NAMEPLATE_AR_GOLD",,"eUnlockItemId_NAMEPLATE_AR_GOLD",,"$NAMEPLATE_AR_GOLD_LOCK"
"46","PlayerIDNamePlate_046","$NAMEPLATE_AR_PLATINUM",,"eUnlockItemId_NAMEPLATE_AR_PLATINUM",,"$NAMEPLATE_AR_PLATINUM_LOCK"
"47","PlayerIDNamePlate_047","$NAMEPLATE_BR_BLUE",,"eUnlockItemId_NAMEPLATE_BR_BLUE","true","$NAMEPLATE_BR_BLUE_LOCK"
"48","PlayerIDNamePlate_048","$NAMEPLATE_BR_BRONZE",,"eUnlockItemId_NAMEPLATE_BR_BRONZE",,"$NAMEPLATE_BR_BRONZE_LOCK"
"49","PlayerIDNamePlate_049","$NAMEPLATE_BR_SILVER",,"eUnlockItemId_NAMEPLATE_BR_SILVER",,"$NAMEPLATE_BR_SILVER_LOCK"
"50","PlayerIDNamePlate_050","$NAMEPLATE_BR_GOLD",,"eUnlockItemId_NAMEPLATE_BR_GOLD",,"$NAMEPLATE_BR_GOLD_LOCK"
"51","PlayerIDNamePlate_051","$NAMEPLATE_BR_PLATINUM",,"eUnlockItemId_NAMEPLATE_BR_PLATINUM",,"$NAMEPLATE_BR_PLATINUM_LOCK"
"52","PlayerIDNamePlate_052","$NAMEPLATE_ROCKET_BLUE",,"eUnlockItemId_NAMEPLATE_ROCKET_BLUE","true","$NAMEPLATE_ROCKET_BLUE_LOCK"
"53","PlayerIDNamePlate_053","$NAMEPLATE_ROCKET_BRONZE",,"eUnlockItemId_NAMEPLATE_ROCKET_BRONZE",,"$NAMEPLATE_ROCKET_BRONZE_LOCK"
"54","PlayerIDNamePlate_054","$NAMEPLATE_ROCKET_SILVER",,"eUnlockItemId_NAMEPLATE_ROCKET_SILVER",,"$NAMEPLATE_ROCKET_SILVER_LOCK"
"55","PlayerIDNamePlate_055","$NAMEPLATE_ROCKET_GOLD",,"eUnlockItemId_NAMEPLATE_ROCKET_GOLD",,"$NAMEPLATE_ROCKET_GOLD_LOCK"
"56","PlayerIDNamePlate_056","$NAMEPLATE_ROCKET_PLATINUM",,"eUnlockItemId_NAMEPLATE_ROCKET_PLATINUM",,"$NAMEPLATE_ROCKET_PLATINUM_LOCK"
"57","PlayerIDNamePlate_057","$NAMEPLATE_SHOTGUN_BLUE",,"eUnlockItemId_NAMEPLATE_SHOTGUN_BLUE","true","$NAMEPLATE_SHOTGUN_BLUE_LOCK"
"58","PlayerIDNamePlate_058","$NAMEPLATE_SHOTGUN_BRONZE",,"eUnlockItemId_NAMEPLATE_SHOTGUN_BRONZE",,"$NAMEPLATE_SHOTGUN_BRONZE_LOCK"
"59","PlayerIDNamePlate_059","$NAMEPLATE_SHOTGUN_SILVER",,"eUnlockItemId_NAMEPLATE_SHOTGUN_SILVER",,"$NAMEPLATE_SHOTGUN_SILVER_LOCK"
"60","PlayerIDNamePlate_060","$NAMEPLATE_SHOTGUN_GOLD",,"eUnlockItemId_NAMEPLATE_SHOTGUN_GOLD",,"$NAMEPLATE_SHOTGUN_GOLD_LOCK"
"61","PlayerIDNamePlate_061","$NAMEPLATE_SHOTGUN_PLATINUM",,"eUnlockItemId_NAMEPLATE_SHOTGUN_PLATINUM",,"$NAMEPLATE_SHOTGUN_PLATINUM_LOCK"
"62","PlayerIDNamePlate_062","$NAMEPLATE_MAGNUM_BLUE",,"eUnlockItemId_NAMEPLATE_MAGNUM_BLUE","true","$NAMEPLATE_MAGNUM_BLUE_LOCK"
